iter	Passed	Remaining
486	666	701
487	668	701
488	670	700
489	671	698
490	672	697
491	674	696
492	675	694
493	676	693
494	678	691
495	679	690
496	681	689
497	682	687
498	684	687
499	686	686
500	687	684
501	688	683
502	690	682
503	691	680
504	693	679
505	694	678
506	695	676
507	697	675
508	698	673
509	699	672
510	701	671
511	702	669
512	703	668
513	705	667
514	706	665
515	708	664
516	709	662
517	710	661
518	711	659
519	713	658
520	714	656
521	715	655
522	717	654
523	718	652
524	720	651
525	721	650
526	723	649
527	724	647
528	725	646
529	727	644
530	728	643
531	730	642
532	731	640
533	732	639
534	734	638
535	735	636
536	736	635
537	738	633
538	739	632
539	740	631
540	742	629
541	743	628
542	744	626
543	746	625
544	747	624
545	748	622
546	750	621
547	751	619
548	752	618
549	754	616
550	755	615
551	756	614
552	758	612
553	759	611
554	760	609
555	762	608
556	763	607
557	764	605
558	766	604
559	767	602
560	768	601
561	769	600
562	771	598
563	772	597
564	774	596
565	775	594
566	776	593
567	778	591
568	779	590
569	780	588
570	782	587
571	783	586
572	784	584
573	786	583
574	787	582
575	788	580
576	790	579
577	791	577
578	792	576
579	793	574
580	795	573
581	796	572
582	797	570
583	799	569
584	800	567
585	801	566
586	803	565
587	804	563
588	805	562
589	807	560
590	808	559
591	809	558
592	811	556
593	812	555
594	813	553
595	814	552
596	816	551
597	817	549
598	818	548
599	820	546
600	821	545
601	822	543
602	824	542
603	825	541
604	826	539
605	827	538
606	829	536
607	830	535
608	831	534
609	833	533
610	835	531
611	836	530
612	837	528
613	839	527
614	840	526
615	841	524
616	843	523
617	844	521
618	846	520
619	847	519
620	848	518
621	850	516
622	851	515
623	852	513
624	854	512
625	855	511
626	856	509
627	858	508
628	859	507
629	861	506
630	863	504
631	864	503
632	866	502
633	867	500
634	869	499
635	870	498
636	871	496
637	873	495
638	874	494
639	875	492
640	877	491
641	878	489
642	879	488
643	881	487
644	882	485
645	883	484
646	885	482
647	886	481
648	887	480
649	889	479
650	891	477
651	892	476
652	894	475
653	895	473
654	896	472
655	898	471
656	900	469
657	901	468
658	902	467
659	904	465
660	905	464
661	906	463
662	908	461
663	909	460
664	910	458
665	912	457
666	913	456
667	914	454
668	916	453
669	917	452
670	919	450
671	920	449
672	922	448
673	923	446
674	924	445
675	926	443
676	927	442
677	929	441
678	930	439
679	932	438
680	933	437
681	934	435
682	935	434
683	937	432
684	938	431
685	939	430
686	941	428
687	942	427
688	943	425
689	945	424
690	946	423
691	947	421
692	949	420
693	950	419
694	952	417
695	953	416
696	954	415
697	956	413
698	957	412
699	958	410
700	960	409
701	961	408
702	962	406
703	964	405
704	965	404
705	966	402
706	968	401
707	969	399
708	973	399
709	974	398
710	975	396
711	977	395
712	978	393
713	980	392
714	981	391
715	982	389
716	984	388
717	985	387
718	986	385
719	988	384
720	989	382
721	990	381
722	992	380
723	993	378
724	994	377
725	996	376
726	997	374
727	999	373
728	1000	372
729	1002	370
730	1003	369
731	1005	368
732	1006	366
733	1008	365
734	1009	364
735	1011	362
736	1012	361
737	1014	360
738	1015	358
739	1016	357
740	1017	355
741	1019	354
742	1020	352
743	1021	351
744	1023	350
745	1024	348
746	1025	347
747	1027	346
748	1028	344
749	1029	343
750	1031	341
751	1033	340
752	1035	339
753	1036	338
754	1038	336
755	1039	335
756	1041	334
757	1042	332
758	1043	331
759	1045	330
760	1046	328
761	1048	327
762	1049	325
763	1050	324
764	1052	323
765	1053	321
766	1055	320
767	1056	319
768	1058	317
769	1059	316
770	1061	315
771	1062	313
772	1064	312
773	1065	311
774	1066	309
775	1068	308
776	1069	306
777	1070	305
778	1072	304
779	1073	302
780	1074	301
781	1076	300
782	1077	298
783	1079	297
784	1080	295
785	1081	294
786	1083	293
787	1084	291
788	1085	290
789	1086	288
790	1088	287
791	1089	286
792	1090	284
793	1092	283
794	1094	282
795	1095	280
796	1096	279
797	1098	278
798	1099	276
799	1101	275
800	1102	273
801	1103	272
802	1105	271
803	1106	269
804	1108	268
805	1109	267
806	1110	265
807	1112	264
808	1113	262
809	1115	261
810	1116	260
811	1117	258
812	1119	257
813	1121	256
814	1122	254
815	1124	253
816	1125	252
817	1128	251
818	1129	249
819	1131	248
820	1132	246
821	1133	245
822	1135	244
823	1136	242
824	1138	241
825	1139	240
826	1141	238
827	1142	237
828	1143	235
829	1145	234
830	1146	233
831	1147	231
832	1149	230
833	1150	228
834	1151	227
835	1153	226
836	1154	224
837	1155	223
838	1157	222
839	1158	220
840	1159	219
841	1161	217
842	1162	216
843	1164	215
844	1165	213
845	1166	212
846	1168	211
847	1169	209
848	1170	208
849	1172	206
850	1173	205
851	1175	204
852	1176	202
853	1177	201
854	1179	199
855	1180	198
856	1181	197
857	1183	195
858	1184	194
859	1185	193
860	1187	191
861	1188	190
862	1189	188
863	1191	187
864	1192	186
865	1193	184
