iter	RMSE
0	0.3744865349
1	0.363242244
2	0.3518835714
3	0.3416720602
4	0.3319255758
5	0.3222285008
6	0.3133331021
7	0.3041227686
8	0.2961285165
9	0.2886059027
10	0.2808167919
11	0.274002113
12	0.2665265991
13	0.2600210688
14	0.2535624172
15	0.2476945976
16	0.2414392421
17	0.2358945563
18	0.2302471093
19	0.2251244174
20	0.2200130341
21	0.215077446
22	0.2109705135
23	0.2065631051
24	0.2023154497
25	0.1984038076
26	0.1945195211
27	0.1912106324
28	0.1877497001
29	0.1845501594
30	0.1816148717
31	0.1784362163
32	0.1755798827
33	0.1729722174
34	0.1702389951
35	0.1676355758
36	0.1652274471
37	0.1627205807
38	0.1603909506
39	0.1582932365
40	0.1562444311
41	0.1542847709
42	0.1522952805
43	0.1506335717
44	0.1490389314
45	0.1476260007
46	0.145951573
47	0.1446093977
48	0.1432166676
49	0.1418532993
50	0.1405755632
51	0.1391571855
52	0.1377589157
53	0.1365956606
54	0.1353779707
55	0.1343512272
56	0.1332468757
57	0.1320951024
58	0.1311679107
59	0.1301301865
60	0.1291235828
61	0.1282628133
62	0.1274312114
63	0.1266417528
64	0.1257999479
65	0.1249641471
66	0.1242271611
67	0.1235637904
68	0.1227951982
69	0.121923737
70	0.1211906998
71	0.1205233455
72	0.1200312958
73	0.1193437335
74	0.1186948928
75	0.1181080555
76	0.1175101911
77	0.1169820318
78	0.1164830087
79	0.115921637
80	0.115426297
81	0.1149968515
82	0.1144927848
83	0.1139684731
84	0.1133925983
85	0.1128926688
86	0.1124126199
87	0.1118844512
88	0.1114660439
89	0.1111352131
90	0.1107569822
91	0.1103840587
92	0.1099898308
93	0.1095267372
94	0.1091299416
95	0.108818981
96	0.1084662104
97	0.1081500055
98	0.107837446
99	0.1073976097
100	0.1071338949
101	0.1067461558
102	0.1064694188
103	0.1061275199
104	0.1058093285
105	0.1054471378
106	0.1051829152
107	0.1048723655
108	0.1046439083
109	0.1044665179
110	0.1042469158
111	0.1039839109
112	0.1037656982
113	0.1035236174
114	0.1031721935
115	0.1029692496
116	0.1026718785
117	0.1024538735
118	0.1021297437
119	0.1018973062
120	0.1017008644
121	0.1014855637
122	0.1013439846
123	0.1010786636
124	0.1008347527
125	0.1006460533
126	0.1004668552
127	0.1002981456
128	0.1001379012
129	0.09989996967
130	0.0997157439
131	0.09948073941
132	0.09927179437
133	0.09909772661
134	0.09891040003
135	0.09866151526
136	0.09852172418
137	0.09838238981
138	0.09826405872
139	0.09810701006
140	0.09799625385
141	0.09779263168
142	0.09762847553
143	0.0974401845
144	0.09719094438
145	0.09701620382
146	0.09688808711
147	0.09674605465
148	0.09659518177
149	0.09641292034
150	0.09622842016
151	0.09603584321
152	0.09583619455
153	0.0956873683
154	0.09551304842
155	0.09541831257
156	0.0952236285
157	0.0950774754
158	0.09493769462
159	0.09476880923
160	0.09461509421
161	0.09444697064
162	0.0942839922
163	0.09412746042
164	0.09399600214
165	0.09382373573
166	0.0936477384
167	0.09353911257
168	0.09339940418
169	0.09325792384
170	0.09315513296
171	0.09298692841
172	0.09287227205
173	0.09274203355
174	0.09263224049
175	0.09249034031
176	0.09238029724
177	0.09223068256
178	0.09209687554
179	0.09195170241
180	0.09187379683
181	0.09178023062
182	0.09163359009
183	0.09149598922
184	0.09137357724
185	0.09124512668
186	0.09112048649
187	0.09102230543
188	0.09095684198
189	0.09083152191
190	0.09067737576
191	0.09056192046
192	0.09045601812
193	0.09034240915
194	0.09022742333
195	0.0901048141
196	0.08995676519
197	0.08984785321
198	0.08976346492
199	0.08960275136
200	0.08949190469
201	0.08928034778
202	0.08923215076
203	0.08913499836
204	0.08904502355
205	0.08892300688
206	0.08882058222
207	0.08871245354
208	0.08853628449
209	0.0884233955
210	0.08827829214
211	0.08819666836
212	0.08809375887
213	0.08796198675
214	0.08783333323
215	0.08777620284
216	0.08763893221
217	0.08757459921
218	0.08744737011
219	0.08734163083
220	0.08730736154
221	0.08721467481
222	0.08714245013
223	0.08699406592
224	0.08693490258
225	0.08683289078
226	0.08668590364
227	0.08660505314
228	0.08650657775
229	0.08635301871
230	0.08624457604
231	0.08616520621
232	0.08606879669
233	0.0859504405
234	0.08586200443
235	0.08578628835
236	0.08570393692
237	0.08556574158
238	0.08545296491
239	0.08531870486
240	0.08524052842
241	0.08512615767
242	0.08505540741
243	0.08495495877
244	0.08483685199
245	0.08473298925
246	0.08460022998
247	0.08450798549
248	0.08435857687
249	0.08425429472
250	0.08413931581
251	0.0840507664
252	0.08387953452
253	0.08377893697
254	0.08368430885
255	0.08366393305
256	0.08357167918
257	0.08344653717
258	0.08337614363
259	0.08328456118
260	0.08320545015
261	0.08308729317
262	0.08295429091
263	0.0829257866
264	0.08283821414
265	0.08276750453
266	0.08269203787
267	0.08262214694
268	0.08246088945
269	0.08234607983
270	0.08220895764
271	0.08205115809
272	0.08195438769
273	0.0818795857
274	0.08180308039
275	0.08173198442
276	0.08165821435
277	0.08150229703
278	0.08143436885
279	0.08131425808
280	0.08121028593
281	0.08111019652
282	0.08107100027
283	0.08105000224
284	0.08097294731
285	0.08089805283
286	0.08079648254
287	0.08068430786
288	0.08061416651
289	0.08058806197
290	0.08053153907
291	0.08037102873
292	0.08027308866
293	0.08017196289
294	0.08009494502
295	0.0800718774
296	0.08005681895
297	0.07996392577
298	0.07980369822
299	0.07978756572
300	0.07977417889
301	0.07976251284
302	0.07965686587
303	0.07954109599
304	0.0794388415
305	0.07942243501
306	0.07939497684
307	0.07937956398
308	0.07924064629
309	0.07915147488
310	0.07903541684
311	0.07902182643
312	0.07899946573
313	0.07890909683
314	0.07881073061
315	0.07867448675
316	0.07855513479
317	0.07847399859
318	0.07837528637
319	0.07823446883
320	0.07822186535
321	0.07819237001
322	0.07809885879
323	0.0779915549
324	0.07789403204
325	0.07781902977
326	0.07778188456
327	0.07770085809
328	0.07756344301
329	0.07751391023
330	0.07742949026
331	0.07735448314
332	0.07728588593
333	0.07719111811
334	0.07709188165
335	0.07704078564
336	0.07695618999
337	0.07687231881
338	0.07679008649
339	0.07672212233
340	0.07671076261
341	0.07660961194
342	0.07650115109
343	0.07640091114
344	0.07629199711
345	0.07620679151
346	0.07619358692
347	0.0761622672
348	0.07608323896
349	0.07600236368
350	0.07591119135
351	0.07589974398
352	0.07584164029
353	0.07582719352
354	0.07574795285
355	0.07573335754
356	0.07566527775
357	0.07560160064
358	0.07556293777
359	0.07545198693
360	0.07534888917
361	0.07526606116
362	0.07518263866
363	0.07513857369
364	0.07502243707
365	0.0750119804
366	0.07489233423
367	0.07479345721
368	0.07473122793
369	0.07465458352
370	0.07455352747
371	0.07446564849
372	0.07438259104
373	0.07429519893
374	0.07422254006
375	0.07417402994
376	0.07410856602
377	0.074099153
378	0.07409259372
379	0.07404223867
380	0.07397925722
381	0.07388283972
382	0.07385819357
383	0.07378889562
384	0.07369995403
385	0.07361248708
386	0.07354892089
387	0.07345440766
