iter	RMSE
0	0.3860001064
1	0.3859832423
2	0.385967618
3	0.3859531421
4	0.3859397304
5	0.3859273046
6	0.3859157921
7	0.385905126
8	0.3858952439
9	0.3858860883
10	0.3858776057
11	0.3858697467
12	0.3858624653
13	0.3858557192
14	0.385849469
15	0.3858436783
16	0.3858383132
17	0.3858333425
18	0.3858287371
19	0.3858244703
20	0.3858205171
21	0.3858168545
22	0.3858134611
23	0.3858103171
24	0.3858074042
25	0.3858047054
26	0.3858022049
27	0.3857998882
28	0.3857977419
29	0.3857957532
30	0.3857939107
31	0.3857922037
32	0.385790622
33	0.3857891567
34	0.385787799
35	0.3857865411
36	0.3857853756
37	0.3857842958
38	0.3857832954
39	0.3857823684
40	0.3857815096
41	0.3857807139
42	0.3857799767
43	0.3857792936
44	0.3857786607
45	0.3857780744
46	0.3857775311
47	0.3857770277
48	0.3857765614
49	0.3857761293
50	0.3857757289
51	0.385775358
52	0.3857750143
53	0.3857746959
54	0.3857744009
55	0.3857741275
56	0.3857738742
57	0.3857736396
58	0.3857734222
59	0.3857732207
60	0.3857730341
61	0.3857728611
62	0.3857727009
63	0.3857725525
64	0.3857724149
65	0.3857722875
66	0.3857721694
67	0.38577206
68	0.3857719586
69	0.3857718647
70	0.3857717777
71	0.385771697
72	0.3857716223
73	0.3857715531
74	0.385771489
75	0.3857714296
76	0.3857713745
77	0.3857713235
78	0.3857712762
79	0.3857712325
80	0.3857711919
81	0.3857711543
82	0.3857711195
83	0.3857710872
84	0.3857710573
85	0.3857710296
86	0.3857710039
87	0.3857709801
88	0.3857709581
89	0.3857709377
90	0.3857709187
91	0.3857709012
92	0.385770885
93	0.3857708699
94	0.385770856
95	0.3857708431
96	0.3857708311
97	0.38577082
98	0.3857708097
99	0.3857708002
100	0.3857707914
101	0.3857707832
102	0.3857707756
103	0.3857707686
104	0.3857707621
105	0.3857707561
106	0.3857707505
107	0.3857707453
108	0.3857707405
109	0.3857707361
110	0.385770732
111	0.3857707282
112	0.3857707246
113	0.3857707214
114	0.3857707183
115	0.3857707155
116	0.3857707129
117	0.3857707105
118	0.3857707083
119	0.3857707062
120	0.3857707043
121	0.3857707025
122	0.3857707009
123	0.3857706993
124	0.3857706979
125	0.3857706966
126	0.3857706954
127	0.3857706943
128	0.3857706932
129	0.3857706923
130	0.3857706914
131	0.3857706905
132	0.3857706898
133	0.3857706891
134	0.3857706884
135	0.3857706878
136	0.3857706872
137	0.3857706867
138	0.3857706862
139	0.3857706858
140	0.3857706853
141	0.385770685
142	0.3857706846
143	0.3857706843
144	0.385770684
145	0.3857706837
146	0.3857706834
147	0.3857706832
148	0.3857706829
149	0.3857706827
150	0.3857706825
151	0.3857706824
152	0.3857706822
153	0.385770682
154	0.3857706819
155	0.3857706818
156	0.3857706816
157	0.3857706815
158	0.3857706814
159	0.3857706813
160	0.3857706812
161	0.3857706811
162	0.3857706811
163	0.385770681
164	0.3857706809
165	0.3857706809
166	0.3857706808
167	0.3857706808
168	0.3857706807
169	0.3857706807
170	0.3857706806
171	0.3857706806
172	0.3857706805
173	0.3857706805
174	0.3857706805
175	0.3857706804
176	0.3857706804
177	0.3857706804
178	0.3857706804
179	0.3857706804
180	0.3857706803
181	0.3857706803
182	0.3857706803
183	0.3857706803
184	0.3857706803
185	0.3857706803
186	0.3857706802
187	0.3857706802
188	0.3857706802
189	0.3857706802
190	0.3857706802
191	0.3857706802
192	0.3857706802
193	0.3857706802
194	0.3857706802
195	0.3857706802
196	0.3857706802
197	0.3857706801
198	0.3857706801
199	0.3857706801
200	0.3857706801
201	0.3857706801
202	0.3857706801
203	0.3857706801
204	0.3857706801
205	0.3857706801
206	0.3857706801
207	0.3857706801
208	0.3857706801
209	0.3857706801
210	0.3857706801
211	0.3857706801
212	0.3857706801
213	0.3857706801
214	0.3857706801
215	0.3857706801
216	0.3857706801
217	0.3857706801
218	0.3857706801
219	0.3857706801
220	0.3857706801
221	0.3857706801
222	0.3857706801
223	0.3857706801
224	0.3857706801
225	0.3857706801
226	0.3857706801
227	0.3857706801
228	0.3857706801
229	0.3857706801
230	0.3857706801
231	0.3857706801
232	0.3857706801
233	0.3857706801
234	0.3857706801
235	0.3857706801
236	0.3857706801
237	0.3857706801
238	0.3857706801
239	0.3857706801
240	0.3857706801
241	0.3857706801
242	0.3857706801
243	0.3857706801
244	0.3857706801
245	0.3857706801
246	0.3857706801
247	0.3857706801
248	0.3857706801
249	0.3857706801
250	0.3857706801
251	0.3857706801
252	0.3857706801
253	0.3857706801
254	0.3857706801
255	0.3857706801
256	0.3857706801
257	0.3857706801
258	0.3857706801
259	0.3857706801
260	0.3857706801
261	0.3857706801
262	0.3857706801
263	0.3857706801
264	0.3857706801
265	0.3857706801
266	0.3857706801
267	0.3857706801
268	0.3857706801
269	0.3857706801
270	0.3857706801
271	0.3857706801
272	0.3857706801
273	0.3857706801
274	0.3857706801
275	0.3857706801
276	0.3857706801
277	0.3857706801
278	0.3857706801
279	0.3857706801
280	0.3857706801
281	0.3857706801
282	0.3857706801
283	0.3857706801
